Category,Metric_Code,Metric_Description,Total_Sample_N,Count_Favorable,Percentage_Favorable,Key_Problem_Indicated
Demographics,D3_AgriLabor,Households engaged in Agriculture/Daily Labor,[N],[Count],[%],"Economic vulnerability and time poverty"
Demographics,D4_HigherSecPlus,Households with at least Class 12 education,[N],[Count],[%],"Household digital mediator availability"
Connectivity,TECH1_SmartYes,Households with at least 1 working smartphone,[N],[Count],[%],"Mobile web feasibility"
Connectivity,TECH2_MobileData,Households using mobile cellular data (2G/3G/4G),[N],[Count],[%],"Low bandwidth design requirement"
Digital Literacy,TECH3_Independent,Can browse web/read notices independently,[N],[Count],[%],"Need for simple language & visual icons"
Scheme Access,SCH1_Middlemen,Learns schemes through word of mouth or middlemen,[N],[Count],[%],"Information asymmetry and exploitation"
Scheme Access,SCH2_DocChallenge,Face repeated office visits due to missing doc info,[N],[Count],[%],"Need for verified scheme checklist"
Cyber Awareness,SCH3_GovDomainConf,Unable to identify official .gov.in websites,[N],[Count],[%],"Vulnerability to phishing / fake portals"
Emergency Contacts,CON1_NoPHC,Lack verified PHC or ambulance phone number,[N],[Count],[%],"Critical emergency response delays"
Emergency Contacts,CON1_NoPanchayat,Lack direct contact of Panchayat Secretary,[N],[Count],[%],"Administrative accessibility gap"
Healthcare,HLTH1_InPersonOnly,Must physically travel to PHC to check doctor presence,[N],[Count],[%],"Wasted travel time and missed care"
Education,EDU1_ScatteredInfo,Struggle to get school/Anganwadi details,[N],[Count],[%],"Lack of central educational directory"
Local Economy,BIZ2_DirWilling,Believe a village business/artisan directory is useful,[N],[Count],[%],"Latent demand for local trade visibility"
